ID	Gene Name	Species	GOTERM_BP_DIRECT
PTGES3	prostaglandin E synthase 3(PTGES3)	Homo sapiens	GO:0000723~telomere maintenance,GO:0001516~prostaglandin biosynthetic process,GO:0005978~glycogen biosynthetic process,GO:0006278~RNA-dependent DNA biosynthetic process,GO:0007165~signal transduction,GO:0008283~cell proliferation,GO:0019371~cyclooxygenase pathway,GO:0042921~glucocorticoid receptor signaling pathway,GO:0043588~skin development,GO:0060430~lung saccule development,GO:0070389~chaperone cofactor-dependent protein refolding,GO:1900034~regulation of cellular response to heat,
PTGES	prostaglandin E synthase(PTGES)	Homo sapiens	GO:0001516~prostaglandin biosynthetic process,GO:0002526~acute inflammatory response,GO:0002544~chronic inflammatory response,GO:0006693~prostaglandin metabolic process,GO:0007165~signal transduction,GO:0008285~negative regulation of cell proliferation,GO:0014070~response to organic cyclic compound,GO:0019371~cyclooxygenase pathway,GO:0032496~response to lipopolysaccharide,GO:0032526~response to retinoic acid,GO:0034097~response to cytokine,GO:0051592~response to calcium ion,
PTGFR	prostaglandin F receptor(PTGFR)	Homo sapiens	GO:0006954~inflammatory response,GO:0007186~G-protein coupled receptor signaling pathway,GO:0007189~adenylate cyclase-activating G-protein coupled receptor signaling pathway,GO:0007204~positive regulation of cytosolic calcium ion concentration,GO:0007567~parturition,GO:0008284~positive regulation of cell proliferation,GO:0010628~positive regulation of gene expression,GO:0032355~response to estradiol,GO:0032496~response to lipopolysaccharide,GO:0035584~calcium-mediated signaling using intracellular calcium source,GO:0043066~negative regulation of apoptotic process,GO:0071799~cellular response to prostaglandin D stimulus,
PTGS1	prostaglandin-endoperoxide synthase 1(PTGS1)	Homo sapiens	GO:0001516~prostaglandin biosynthetic process,GO:0006629~lipid metabolic process,GO:0006805~xenobiotic metabolic process,GO:0006954~inflammatory response,GO:0006979~response to oxidative stress,GO:0008217~regulation of blood pressure,GO:0019371~cyclooxygenase pathway,GO:0042127~regulation of cell proliferation,GO:0055114~oxidation-reduction process,GO:0098869~cellular oxidant detoxification,
PTGS2	prostaglandin-endoperoxide synthase 2(PTGS2)	Homo sapiens	GO:0001516~prostaglandin biosynthetic process,GO:0001525~angiogenesis,GO:0006693~prostaglandin metabolic process,GO:0006769~nicotinamide metabolic process,GO:0006928~movement of cell or subcellular component,GO:0006954~inflammatory response,GO:0006979~response to oxidative stress,GO:0007566~embryo implantation,GO:0007612~learning,GO:0007613~memory,GO:0008217~regulation of blood pressure,GO:0008285~negative regulation of cell proliferation,GO:0009750~response to fructose,GO:0010042~response to manganese ion,GO:0010226~response to lithium ion,GO:0010575~positive regulation of vascular endothelial growth factor production,GO:0019233~sensory perception of pain,GO:0019371~cyclooxygenase pathway,GO:0019372~lipoxygenase pathway,GO:0030282~bone mineralization,GO:0030728~ovulation,GO:0031394~positive regulation of prostaglandin biosynthetic process,GO:0031622~positive regulation of fever generation,GO:0031915~positive regulation of synaptic plasticity,GO:0032227~negative regulation of synaptic transmission, dopaminergic,GO:0032355~response to estradiol,GO:0032496~response to lipopolysaccharide,GO:0033280~response to vitamin D,GO:0034612~response to tumor necrosis factor,GO:0034644~cellular response to UV,GO:0035633~maintenance of blood-brain barrier,GO:0042346~positive regulation of NF-kappaB import into nucleus,GO:0042493~response to drug,GO:0042633~hair cycle,GO:0043065~positive regulation of apoptotic process,GO:0045429~positive regulation of nitric oxide biosynthetic process,GO:0045786~negative regulation of cell cycle,GO:0045907~positive regulation of vasoconstriction,GO:0045986~negative regulation of smooth muscle contraction,GO:0045987~positive regulation of smooth muscle contraction,GO:0046697~decidualization,GO:0048661~positive regulation of smooth muscle cell proliferation,GO:0050727~regulation of inflammatory response,GO:0050873~brown fat cell differentiation,GO:0051384~response to glucocorticoid,GO:0051926~negative regulation of calcium ion transport,GO:0051968~positive regulation of synaptic transmission, glutamatergic,GO:0055114~oxidation-reduction process,GO:0070542~response to fatty acid,GO:0071260~cellular response to mechanical stimulus,GO:0071318~cellular response to ATP,GO:0071456~cellular response to hypoxia,GO:0071498~cellular response to fluid shear stress,GO:0071636~positive regulation of transforming growth factor beta production,GO:0090050~positive regulation of cell migration involved in sprouting angiogenesis,GO:0090271~positive regulation of fibroblast growth factor production,GO:0090336~positive regulation of brown fat cell differentiation,GO:0090362~positive regulation of platelet-derived growth factor production,GO:0098869~cellular oxidant detoxification,
PTOV1	prostate tumor overexpressed 1(PTOV1)	Homo sapiens	GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,
PRSS23	protease, serine 23(PRSS23)	Homo sapiens	GO:0006508~proteolysis,
PSMC1	proteasome 26S subunit, ATPase 1(PSMC1)	Homo sapiens	GO:0000165~MAPK cascade,GO:0000209~protein polyubiquitination,GO:0002223~stimulatory C-type lectin receptor signaling pathway,GO:0002479~antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent,GO:0006521~regulation of cellular amino acid metabolic process,GO:0030163~protein catabolic process,GO:0030433~ER-associated ubiquitin-dependent protein catabolic process,GO:0031145~anaphase-promoting complex-dependent catabolic process,GO:0033209~tumor necrosis factor-mediated signaling pathway,GO:0038061~NIK/NF-kappaB signaling,GO:0038095~Fc-epsilon receptor signaling pathway,GO:0043161~proteasome-mediated ubiquitin-dependent protein catabolic process,GO:0043488~regulation of mRNA stability,GO:0045899~positive regulation of RNA polymerase II transcriptional preinitiation complex assembly,GO:0050852~T cell receptor signaling pathway,GO:0051436~negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle,GO:0051437~positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition,GO:0060071~Wnt signaling pathway, planar cell polarity pathway,GO:0090090~negative regulation of canonical Wnt signaling pathway,GO:0090263~positive regulation of canonical Wnt signaling pathway,GO:1901215~negative regulation of neuron death,GO:1901800~positive regulation of proteasomal protein catabolic process,
PSMC2	proteasome 26S subunit, ATPase 2(PSMC2)	Homo sapiens	GO:0000165~MAPK cascade,GO:0000209~protein polyubiquitination,GO:0001649~osteoblast differentiation,GO:0002223~stimulatory C-type lectin receptor signaling pathway,GO:0002479~antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent,GO:0006511~ubiquitin-dependent protein catabolic process,GO:0006521~regulation of cellular amino acid metabolic process,GO:0016032~viral process,GO:0030163~protein catabolic process,GO:0030433~ER-associated ubiquitin-dependent protein catabolic process,GO:0031145~anaphase-promoting complex-dependent catabolic process,GO:0033209~tumor necrosis factor-mediated signaling pathway,GO:0038061~NIK/NF-kappaB signaling,GO:0038095~Fc-epsilon receptor signaling pathway,GO:0043161~proteasome-mediated ubiquitin-dependent protein catabolic process,GO:0043488~regulation of mRNA stability,GO:0045899~positive regulation of RNA polymerase II transcriptional preinitiation complex assembly,GO:0050852~T cell receptor signaling pathway,GO:0051436~negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle,GO:0051437~positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition,GO:0060071~Wnt signaling pathway, planar cell polarity pathway,GO:0090090~negative regulation of canonical Wnt signaling pathway,GO:0090263~positive regulation of canonical Wnt signaling pathway,GO:1901800~positive regulation of proteasomal protein catabolic process,
PSMC3	proteasome 26S subunit, ATPase 3(PSMC3)	Homo sapiens	GO:0000165~MAPK cascade,GO:0000209~protein polyubiquitination,GO:0001824~blastocyst development,GO:0002223~stimulatory C-type lectin receptor signaling pathway,GO:0002479~antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent,GO:0006521~regulation of cellular amino acid metabolic process,GO:0016032~viral process,GO:0030163~protein catabolic process,GO:0030433~ER-associated ubiquitin-dependent protein catabolic process,GO:0031145~anaphase-promoting complex-dependent catabolic process,GO:0033209~tumor necrosis factor-mediated signaling pathway,GO:0038061~NIK/NF-kappaB signaling,GO:0038095~Fc-epsilon receptor signaling pathway,GO:0043161~proteasome-mediated ubiquitin-dependent protein catabolic process,GO:0043488~regulation of mRNA stability,GO:0045899~positive regulation of RNA polymerase II transcriptional preinitiation complex assembly,GO:0050852~T cell receptor signaling pathway,GO:0051436~negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle,GO:0051437~positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition,GO:0060071~Wnt signaling pathway, planar cell polarity pathway,GO:0090090~negative regulation of canonical Wnt signaling pathway,GO:0090263~positive regulation of canonical Wnt signaling pathway,GO:1901800~positive regulation of proteasomal protein catabolic process,GO:1903507~negative regulation of nucleic acid-templated transcription,
PSMC4	proteasome 26S subunit, ATPase 4(PSMC4)	Homo sapiens	GO:0000165~MAPK cascade,GO:0000209~protein polyubiquitination,GO:0001824~blastocyst development,GO:0002223~stimulatory C-type lectin receptor signaling pathway,GO:0002479~antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent,GO:0006508~proteolysis,GO:0006521~regulation of cellular amino acid metabolic process,GO:0030163~protein catabolic process,GO:0030433~ER-associated ubiquitin-dependent protein catabolic process,GO:0031145~anaphase-promoting complex-dependent catabolic process,GO:0033209~tumor necrosis factor-mediated signaling pathway,GO:0038061~NIK/NF-kappaB signaling,GO:0038095~Fc-epsilon receptor signaling pathway,GO:0043161~proteasome-mediated ubiquitin-dependent protein catabolic process,GO:0043488~regulation of mRNA stability,GO:0045899~positive regulation of RNA polymerase II transcriptional preinitiation complex assembly,GO:0050852~T cell receptor signaling pathway,GO:0051436~negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle,GO:0051437~positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition,GO:0060071~Wnt signaling pathway, planar cell polarity pathway,GO:0090090~negative regulation of canonical Wnt signaling pathway,GO:0090263~positive regulation of canonical Wnt signaling pathway,GO:1901800~positive regulation of proteasomal protein catabolic process,
PSMC5	proteasome 26S subunit, ATPase 5(PSMC5)	Homo sapiens	GO:0000165~MAPK cascade,GO:0000209~protein polyubiquitination,GO:0002223~stimulatory C-type lectin receptor signaling pathway,GO:0002479~antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent,GO:0006366~transcription from RNA polymerase II promoter,GO:0006521~regulation of cellular amino acid metabolic process,GO:0030163~protein catabolic process,GO:0030433~ER-associated ubiquitin-dependent protein catabolic process,GO:0031145~anaphase-promoting complex-dependent catabolic process,GO:0033209~tumor necrosis factor-mediated signaling pathway,GO:0038061~NIK/NF-kappaB signaling,GO:0038095~Fc-epsilon receptor signaling pathway,GO:0043069~negative regulation of programmed cell death,GO:0043161~proteasome-mediated ubiquitin-dependent protein catabolic process,GO:0043488~regulation of mRNA stability,GO:0045892~negative regulation of transcription, DNA-templated,GO:0045893~positive regulation of transcription, DNA-templated,GO:0045899~positive regulation of RNA polymerase II transcriptional preinitiation complex assembly,GO:0050852~T cell receptor signaling pathway,GO:0051436~negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle,GO:0051437~positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition,GO:0060071~Wnt signaling pathway, planar cell polarity pathway,GO:0090090~negative regulation of canonical Wnt signaling pathway,GO:0090261~positive regulation of inclusion body assembly,GO:0090263~positive regulation of canonical Wnt signaling pathway,GO:1901800~positive regulation of proteasomal protein catabolic process,
PSMC6	proteasome 26S subunit, ATPase 6(PSMC6)	Homo sapiens	GO:0000165~MAPK cascade,GO:0000209~protein polyubiquitination,GO:0002223~stimulatory C-type lectin receptor signaling pathway,GO:0002479~antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent,GO:0006511~ubiquitin-dependent protein catabolic process,GO:0006521~regulation of cellular amino acid metabolic process,GO:0030163~protein catabolic process,GO:0030433~ER-associated ubiquitin-dependent protein catabolic process,GO:0031145~anaphase-promoting complex-dependent catabolic process,GO:0033209~tumor necrosis factor-mediated signaling pathway,GO:0038061~NIK/NF-kappaB signaling,GO:0038095~Fc-epsilon receptor signaling pathway,GO:0043161~proteasome-mediated ubiquitin-dependent protein catabolic process,GO:0043488~regulation of mRNA stability,GO:0045899~positive regulation of RNA polymerase II transcriptional preinitiation complex assembly,GO:0050852~T cell receptor signaling pathway,GO:0051436~negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle,GO:0051437~positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition,GO:0060071~Wnt signaling pathway, planar cell polarity pathway,GO:0090090~negative regulation of canonical Wnt signaling pathway,GO:0090261~positive regulation of inclusion body assembly,GO:0090263~positive regulation of canonical Wnt signaling pathway,GO:1901800~positive regulation of proteasomal protein catabolic process,
PSMD1	proteasome 26S subunit, non-ATPase 1(PSMD1)	Homo sapiens	GO:0000165~MAPK cascade,GO:0000209~protein polyubiquitination,GO:0002223~stimulatory C-type lectin receptor signaling pathway,GO:0002479~antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent,GO:0006521~regulation of cellular amino acid metabolic process,GO:0031145~anaphase-promoting complex-dependent catabolic process,GO:0033209~tumor necrosis factor-mediated signaling pathway,GO:0038061~NIK/NF-kappaB signaling,GO:0038095~Fc-epsilon receptor signaling pathway,GO:0042176~regulation of protein catabolic process,GO:0043161~proteasome-mediated ubiquitin-dependent protein catabolic process,GO:0043488~regulation of mRNA stability,GO:0050852~T cell receptor signaling pathway,GO:0051436~negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle,GO:0051437~positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition,GO:0060071~Wnt signaling pathway, planar cell polarity pathway,GO:0090090~negative regulation of canonical Wnt signaling pathway,GO:0090263~positive regulation of canonical Wnt signaling pathway,
PSMD10	proteasome 26S subunit, non-ATPase 10(PSMD10)	Homo sapiens	GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0000165~MAPK cascade,GO:0000209~protein polyubiquitination,GO:0002223~stimulatory C-type lectin receptor signaling pathway,GO:0002479~antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent,GO:0006521~regulation of cellular amino acid metabolic process,GO:0006915~apoptotic process,GO:0007253~cytoplasmic sequestering of NF-kappaB,GO:0030307~positive regulation of cell growth,GO:0031145~anaphase-promoting complex-dependent catabolic process,GO:0031398~positive regulation of protein ubiquitination,GO:0032088~negative regulation of NF-kappaB transcription factor activity,GO:0032436~positive regulation of proteasomal ubiquitin-dependent protein catabolic process,GO:0033209~tumor necrosis factor-mediated signaling pathway,GO:0038061~NIK/NF-kappaB signaling,GO:0038095~Fc-epsilon receptor signaling pathway,GO:0043066~negative regulation of apoptotic process,GO:0043161~proteasome-mediated ubiquitin-dependent protein catabolic process,GO:0043409~negative regulation of MAPK cascade,GO:0043488~regulation of mRNA stability,GO:0043518~negative regulation of DNA damage response, signal transduction by p53 class mediator,GO:0045737~positive regulation of cyclin-dependent protein serine/threonine kinase activity,GO:0050852~T cell receptor signaling pathway,GO:0051436~negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle,GO:0051437~positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition,GO:0060071~Wnt signaling pathway, planar cell polarity pathway,GO:0070682~proteasome regulatory particle assembly,GO:0090090~negative regulation of canonical Wnt signaling pathway,GO:0090201~negative regulation of release of cytochrome c from mitochondria,GO:0090263~positive regulation of canonical Wnt signaling pathway,
PSMD11	proteasome 26S subunit, non-ATPase 11(PSMD11)	Homo sapiens	GO:0000165~MAPK cascade,GO:0000209~protein polyubiquitination,GO:0002223~stimulatory C-type lectin receptor signaling pathway,GO:0002479~antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent,GO:0006511~ubiquitin-dependent protein catabolic process,GO:0006521~regulation of cellular amino acid metabolic process,GO:0031145~anaphase-promoting complex-dependent catabolic process,GO:0033209~tumor necrosis factor-mediated signaling pathway,GO:0038061~NIK/NF-kappaB signaling,GO:0038095~Fc-epsilon receptor signaling pathway,GO:0043161~proteasome-mediated ubiquitin-dependent protein catabolic process,GO:0043248~proteasome assembly,GO:0043488~regulation of mRNA stability,GO:0048863~stem cell differentiation,GO:0050852~T cell receptor signaling pathway,GO:0051436~negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle,GO:0051437~positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition,GO:0060071~Wnt signaling pathway, planar cell polarity pathway,GO:0090090~negative regulation of canonical Wnt signaling pathway,GO:0090263~positive regulation of canonical Wnt signaling pathway,
PSMD12	proteasome 26S subunit, non-ATPase 12(PSMD12)	Homo sapiens	GO:0000165~MAPK cascade,GO:0000209~protein polyubiquitination,GO:0002223~stimulatory C-type lectin receptor signaling pathway,GO:0002479~antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent,GO:0006521~regulation of cellular amino acid metabolic process,GO:0031145~anaphase-promoting complex-dependent catabolic process,GO:0033209~tumor necrosis factor-mediated signaling pathway,GO:0038061~NIK/NF-kappaB signaling,GO:0038095~Fc-epsilon receptor signaling pathway,GO:0043161~proteasome-mediated ubiquitin-dependent protein catabolic process,GO:0043488~regulation of mRNA stability,GO:0050852~T cell receptor signaling pathway,GO:0051436~negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle,GO:0051437~positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition,GO:0060071~Wnt signaling pathway, planar cell polarity pathway,GO:0090090~negative regulation of canonical Wnt signaling pathway,GO:0090263~positive regulation of canonical Wnt signaling pathway,
PSMD13	proteasome 26S subunit, non-ATPase 13(PSMD13)	Homo sapiens	GO:0000165~MAPK cascade,GO:0000209~protein polyubiquitination,GO:0002223~stimulatory C-type lectin receptor signaling pathway,GO:0002479~antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent,GO:0006511~ubiquitin-dependent protein catabolic process,GO:0006521~regulation of cellular amino acid metabolic process,GO:0007127~meiosis I,GO:0031145~anaphase-promoting complex-dependent catabolic process,GO:0033209~tumor necrosis factor-mediated signaling pathway,GO:0038061~NIK/NF-kappaB signaling,GO:0038095~Fc-epsilon receptor signaling pathway,GO:0043161~proteasome-mediated ubiquitin-dependent protein catabolic process,GO:0043248~proteasome assembly,GO:0043488~regulation of mRNA stability,GO:0050852~T cell receptor signaling pathway,GO:0051436~negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle,GO:0051437~positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition,GO:0060071~Wnt signaling pathway, planar cell polarity pathway,GO:0090090~negative regulation of canonical Wnt signaling pathway,GO:0090263~positive regulation of canonical Wnt signaling pathway,
PSMD14	proteasome 26S subunit, non-ATPase 14(PSMD14)	Homo sapiens	GO:0000165~MAPK cascade,GO:0000209~protein polyubiquitination,GO:0000724~double-strand break repair via homologous recombination,GO:0002223~stimulatory C-type lectin receptor signaling pathway,GO:0002479~antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent,GO:0006303~double-strand break repair via nonhomologous end joining,GO:0006511~ubiquitin-dependent protein catabolic process,GO:0006521~regulation of cellular amino acid metabolic process,GO:0010950~positive regulation of endopeptidase activity,GO:0031145~anaphase-promoting complex-dependent catabolic process,GO:0033209~tumor necrosis factor-mediated signaling pathway,GO:0038061~NIK/NF-kappaB signaling,GO:0038095~Fc-epsilon receptor signaling pathway,GO:0043161~proteasome-mediated ubiquitin-dependent protein catabolic process,GO:0043488~regulation of mRNA stability,GO:0045471~response to ethanol,GO:0050852~T cell receptor signaling pathway,GO:0051436~negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle,GO:0051437~positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition,GO:0060071~Wnt signaling pathway, planar cell polarity pathway,GO:0061136~regulation of proteasomal protein catabolic process,GO:0070536~protein K63-linked deubiquitination,GO:0090090~negative regulation of canonical Wnt signaling pathway,GO:0090263~positive regulation of canonical Wnt signaling pathway,
PSMD2	proteasome 26S subunit, non-ATPase 2(PSMD2)	Homo sapiens	GO:0000165~MAPK cascade,GO:0000209~protein polyubiquitination,GO:0002223~stimulatory C-type lectin receptor signaling pathway,GO:0002479~antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent,GO:0006521~regulation of cellular amino acid metabolic process,GO:0031145~anaphase-promoting complex-dependent catabolic process,GO:0033209~tumor necrosis factor-mediated signaling pathway,GO:0038061~NIK/NF-kappaB signaling,GO:0038095~Fc-epsilon receptor signaling pathway,GO:0043161~proteasome-mediated ubiquitin-dependent protein catabolic process,GO:0043488~regulation of mRNA stability,GO:0050852~T cell receptor signaling pathway,GO:0051436~negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle,GO:0051437~positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition,GO:0060071~Wnt signaling pathway, planar cell polarity pathway,GO:0090090~negative regulation of canonical Wnt signaling pathway,GO:0090263~positive regulation of canonical Wnt signaling pathway,
PSMD3	proteasome 26S subunit, non-ATPase 3(PSMD3)	Homo sapiens	GO:0000165~MAPK cascade,GO:0000209~protein polyubiquitination,GO:0002223~stimulatory C-type lectin receptor signaling pathway,GO:0002479~antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent,GO:0006511~ubiquitin-dependent protein catabolic process,GO:0006521~regulation of cellular amino acid metabolic process,GO:0031145~anaphase-promoting complex-dependent catabolic process,GO:0033209~tumor necrosis factor-mediated signaling pathway,GO:0038061~NIK/NF-kappaB signaling,GO:0038095~Fc-epsilon receptor signaling pathway,GO:0042176~regulation of protein catabolic process,GO:0043161~proteasome-mediated ubiquitin-dependent protein catabolic process,GO:0043488~regulation of mRNA stability,GO:0050852~T cell receptor signaling pathway,GO:0051436~negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle,GO:0051437~positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition,GO:0060071~Wnt signaling pathway, planar cell polarity pathway,GO:0090090~negative regulation of canonical Wnt signaling pathway,GO:0090263~positive regulation of canonical Wnt signaling pathway,
PSMD4	proteasome 26S subunit, non-ATPase 4(PSMD4)	Homo sapiens	GO:0000165~MAPK cascade,GO:0000209~protein polyubiquitination,GO:0002223~stimulatory C-type lectin receptor signaling pathway,GO:0002479~antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent,GO:0006511~ubiquitin-dependent protein catabolic process,GO:0006521~regulation of cellular amino acid metabolic process,GO:0031145~anaphase-promoting complex-dependent catabolic process,GO:0033209~tumor necrosis factor-mediated signaling pathway,GO:0038061~NIK/NF-kappaB signaling,GO:0038095~Fc-epsilon receptor signaling pathway,GO:0043161~proteasome-mediated ubiquitin-dependent protein catabolic process,GO:0043248~proteasome assembly,GO:0043488~regulation of mRNA stability,GO:0050852~T cell receptor signaling pathway,GO:0051436~negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle,GO:0051437~positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition,GO:0060071~Wnt signaling pathway, planar cell polarity pathway,GO:0090090~negative regulation of canonical Wnt signaling pathway,GO:0090263~positive regulation of canonical Wnt signaling pathway,
PSMD5	proteasome 26S subunit, non-ATPase 5(PSMD5)	Homo sapiens	GO:0000165~MAPK cascade,GO:0000209~protein polyubiquitination,GO:0002223~stimulatory C-type lectin receptor signaling pathway,GO:0002479~antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent,GO:0006521~regulation of cellular amino acid metabolic process,GO:0031145~anaphase-promoting complex-dependent catabolic process,GO:0033209~tumor necrosis factor-mediated signaling pathway,GO:0038061~NIK/NF-kappaB signaling,GO:0038095~Fc-epsilon receptor signaling pathway,GO:0043161~proteasome-mediated ubiquitin-dependent protein catabolic process,GO:0043248~proteasome assembly,GO:0043488~regulation of mRNA stability,GO:0050852~T cell receptor signaling pathway,GO:0051436~negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle,GO:0051437~positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition,GO:0060071~Wnt signaling pathway, planar cell polarity pathway,GO:0070682~proteasome regulatory particle assembly,GO:0090090~negative regulation of canonical Wnt signaling pathway,GO:0090263~positive regulation of canonical Wnt signaling pathway,
PSMD6	proteasome 26S subunit, non-ATPase 6(PSMD6)	Homo sapiens	GO:0000165~MAPK cascade,GO:0000209~protein polyubiquitination,GO:0002223~stimulatory C-type lectin receptor signaling pathway,GO:0002479~antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent,GO:0006508~proteolysis,GO:0006521~regulation of cellular amino acid metabolic process,GO:0031145~anaphase-promoting complex-dependent catabolic process,GO:0033209~tumor necrosis factor-mediated signaling pathway,GO:0038061~NIK/NF-kappaB signaling,GO:0038095~Fc-epsilon receptor signaling pathway,GO:0043161~proteasome-mediated ubiquitin-dependent protein catabolic process,GO:0043488~regulation of mRNA stability,GO:0050852~T cell receptor signaling pathway,GO:0051436~negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle,GO:0051437~positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition,GO:0060071~Wnt signaling pathway, planar cell polarity pathway,GO:0090090~negative regulation of canonical Wnt signaling pathway,GO:0090263~positive regulation of canonical Wnt signaling pathway,
PSMD7	proteasome 26S subunit, non-ATPase 7(PSMD7)	Homo sapiens	GO:0000165~MAPK cascade,GO:0000209~protein polyubiquitination,GO:0002223~stimulatory C-type lectin receptor signaling pathway,GO:0002479~antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent,GO:0006521~regulation of cellular amino acid metabolic process,GO:0031145~anaphase-promoting complex-dependent catabolic process,GO:0033209~tumor necrosis factor-mediated signaling pathway,GO:0038061~NIK/NF-kappaB signaling,GO:0038095~Fc-epsilon receptor signaling pathway,GO:0043161~proteasome-mediated ubiquitin-dependent protein catabolic process,GO:0043488~regulation of mRNA stability,GO:0050852~T cell receptor signaling pathway,GO:0051436~negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle,GO:0051437~positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition,GO:0060071~Wnt signaling pathway, planar cell polarity pathway,GO:0090090~negative regulation of canonical Wnt signaling pathway,GO:0090263~positive regulation of canonical Wnt signaling pathway,
PSMD8	proteasome 26S subunit, non-ATPase 8(PSMD8)	Homo sapiens	GO:0000165~MAPK cascade,GO:0000209~protein polyubiquitination,GO:0002223~stimulatory C-type lectin receptor signaling pathway,GO:0002479~antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent,GO:0006508~proteolysis,GO:0006521~regulation of cellular amino acid metabolic process,GO:0031145~anaphase-promoting complex-dependent catabolic process,GO:0031647~regulation of protein stability,GO:0033209~tumor necrosis factor-mediated signaling pathway,GO:0038061~NIK/NF-kappaB signaling,GO:0038095~Fc-epsilon receptor signaling pathway,GO:0043161~proteasome-mediated ubiquitin-dependent protein catabolic process,GO:0043248~proteasome assembly,GO:0043488~regulation of mRNA stability,GO:0050852~T cell receptor signaling pathway,GO:0051436~negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle,GO:0051437~positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition,GO:0060071~Wnt signaling pathway, planar cell polarity pathway,GO:0090090~negative regulation of canonical Wnt signaling pathway,GO:0090263~positive regulation of canonical Wnt signaling pathway,GO:1903955~positive regulation of protein targeting to mitochondrion,
